5 7 8 - 58.9%
5 7 9 - 40.3%
5 8 9 - 59.7%
6 7 8 - 40.7%
6 7 9 - 61.0%
6 8 9 - 61.0%
7 8 9 - 60.6%


Best accuracy: 
0 1 3 - 74.8%

Average accuracy: 
52.2%

Best matrix: 
Rows:Targets
Cols:Prediction
[0, 1]
| 147 |  7  | T:0
| 51  | 25  | T:1


Process finished with exit code 0
